,intake_number,time_in_shelter_days,is_sterilized,is_sterilized_in_shelter,hair_length,condition_Aged,condition_Feral,condition_Injured,condition_Normal,condition_Nursing,condition_Other,condition_Pregnant,condition_Sick,in_type_Euthanasia Request,in_type_Owner Surrender,in_type_Public Assist,in_type_Stray,sex_male,colour_Black,colour_Blue,colour_Brown,colour_Calico,colour_Chocolate,colour_Orange,colour_Torbie,colour_White,pattern_Multicolor,pattern_Plain,pattern_Point,pattern_Tabby,age_upon_intake_days,in_month_1,in_month_2,in_month_3,in_month_4,in_month_5,in_month_6,in_month_7,in_month_8,in_month_9,in_month_10,in_month_11,in_month_12,age_group_0-1 months,age_group_1-2 years,age_group_10+ years,age_group_2-5 months,age_group_3-5 years,age_group_6-10 years,age_group_6-11 months
9678,0.0,40.204861111111114,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.00821917808219178,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9679,0.0,41.22152777777778,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.00821917808219178,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9680,0.0,68.35138888888889,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0.000821917808219178,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9681,0.0,0.8097222222222222,1,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.07397260273972603,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9682,0.3333333333333333,161.12222222222226,1,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.9999999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9683,0.0,6.902777777777778,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.19999999999999998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9684,0.0,5.81388888888889,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.024657534246575342,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9685,0.0,37.19236111111111,1,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.09999999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9686,0.0,7.1493055555555545,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.05753424657534246,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9687,0.0,15.35625,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.19999999999999998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9688,0.0,33.09861111111111,1,1,0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.007671232876712328,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9689,0.0,56.17430555555556,1,1,0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.007671232876712328,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9690,0.0,32.96458333333333,1,1,0.5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0.007671232876712328,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9691,0.0,3.339583333333333,1,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.9999999999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9692,0.3333333333333333,28.94652777777777,1,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.9999999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9693,0.0,4.121527777777779,1,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9694,0.0,24.92430555555556,1,0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.7999999999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9695,0.3333333333333333,11.163888888888891,1,0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.7999999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9696,0.0,68.92569444444446,1,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.39999999999999997,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9697,0.3333333333333333,23.21805555555556,1,0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.39999999999999997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9698,0.0,73.12152777777777,1,0,0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.39999999999999997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9699,0.0,33.14513888888889,1,0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0.39999999999999997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9700,0.0,43.08958333333333,1,0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.39999999999999997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9701,0.0,4.0375,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.49999999999999994,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9702,0.0,333.9201388888889,1,1,0.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9703,0.0,25.016666666666666,1,0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19999999999999998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9704,0.3333333333333333,11.812500000000002,1,0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.9999999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9705,0.0,14.140277777777778,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.09999999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9706,0.0,52.276388888888896,1,0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.8999999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9707,0.0,15.252777777777776,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9708,0.0,7.3194444444444455,1,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.49999999999999994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9709,0.0,5.435416666666668,1,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.49999999999999994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9710,0.0,5.942361111111111,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0410958904109589,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9711,0.0,5.942361111111111,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.049315068493150684,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9712,0.0,0.27847222222222223,1,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.05753424657534246,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9713,0.3333333333333333,4.040972222222221,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0.049315068493150684,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9714,0.0,89.20138888888891,1,1,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19999999999999998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9715,0.0,62.828472222222224,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.003835616438356164,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9716,0.0,97.99305555555556,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.003835616438356164,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9717,0.0,62.82708333333333,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.003835616438356164,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9718,0.0,4.265972222222223,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0.03287671232876712,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9719,0.0,4.2652777777777775,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.03287671232876712,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9720,0.0,4.189583333333333,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.00821917808219178,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
